"ID","pclass","name","sex","age","sibsp","parch","ticket","fare","cabin","embarked"
57,2,"Mud*****","male",16,0,0,"S.O./P.P. 3",10.5,"","S"
58,3,"Bet*****","male",NA,0,0,"2622",7.2292,"","C"
59,3,"For*****","female",48,1,3,"W./C. 6608",34.375,"","S"
60,2,"Jac*****","male",42,1,0,"243847",27,"","S"
61,3,"Ada*****","male",26,0,0,"341826",8.05,"","S"
62,3,"Pas*****","male",21,0,0,"315097",8.6625,"","S"
63,3,"Ris*****","male",NA,0,0,"364498",14.5,"","S"
64,3,"Kal*****","male",17,0,0,"STON/O 2. 3101274",7.125,"","S"
65,3,"Chr*****","male",29,0,0,"343276",8.05,"","S"
66,3,"Wil*****","male",NA,0,0,"A/5 2466",8.05,"","S"
67,3,"Cal*****","male",17,0,0,"315086",8.6625,"","S"
68,2,"Per*****","male",NA,0,0,"SC/PARIS 2131",15.05,"","C"
69,2,"Mat*****","male",30,0,0,"28228",13,"","S"
70,3,"Lef*****","male",NA,3,1,"4133",25.4667,"","S"
71,2,"Gal*****","male",34,1,0,"28664",21,"","S"
72,1,"Smi*****","male",56,0,0,"17764",30.6958,"A7","C"
73,1,"Nic*****","male",64,0,0,"693",26,"","S"
74,2,"Bro*****","male",60,1,1,"29750",39,"","S"
75,1,"Str*****","female",63,1,0,"PC 17483",221.7792,"C55 C57","S"
76,3,"Lit*****","male",NA,0,0,"S.O./P.P. 251",7.55,"","S"
77,3,"Tor*****","male",NA,0,0,"2673",7.2292,"","C"
78,3,"Den*****","male",22,0,0,"A/5 21172",7.25,"","S"
79,3,"Pet*****","female",18,0,0,"347087",7.775,"","S"
80,2,"de *****","male",32,0,0,"244360",13,"","S"
81,3,"Win*****","male",21,0,0,"SOTON/OQ 3101317",7.25,"","S"
82,2,"Kni*****","male",NA,0,0,"239855",0,"","S"
83,3,"Gus*****","male",19,0,0,"347069",7.775,"","S"
84,3,"Cel*****","male",24,0,0,"343275",8.05,"","S"
85,1,"Rot*****","male",55,1,0,"PC 17603",59.4,"","C"
86,2,"Car*****","female",44,1,0,"244252",26,"","S"
87,3,"Joh*****","male",33,0,0,"7540",8.6542,"","S"
88,3,"Ols*****","male",42,0,1,"4579",8.4042,"","S"
89,3,"Ves*****","female",14,0,0,"350406",7.8542,"","S"
90,1,"Por*****","male",47,0,0,"110465",52,"C110","S"
91,2,"Gil*****","male",47,0,0,"C.A. 30769",10.5,"","S"
92,1,"Far*****","male",NA,0,0,"PC 17483",221.7792,"C95","S"
93,3,"Fly*****","male",NA,0,0,"364851",7.75,"","Q"
94,3,"Aro*****","male",24,0,0,"349911",7.775,"","S"
95,3,"Dav*****","male",21,2,0,"A/4 48871",24.15,"","S"
96,3,"McN*****","female",19,1,0,"376566",16.1,"","S"
97,3,"Den*****","male",NA,0,0,"349225",7.8958,"","S"
98,3,"Per*****","male",22,0,0,"A/5 21174",7.25,"","S"
99,1,"Sut*****","male",61,0,0,"36963",32.3208,"D50","S"
100,1,"Ken*****","male",41,1,0,"17464",51.8625,"D21","S"
101,2,"Col*****","male",31,1,1,"C.A. 31921",26.25,"","S"
102,2,"Pai*****","male",23,0,0,"244278",10.5,"","S"
103,2,"Pon*****","male",34,0,0,"250647",13,"","S"
104,3,"Asp*****","male",40,1,5,"347077",31.3875,"","S"
105,3,"Sim*****","male",NA,0,0,"SOTON/OQ 392082",8.05,"","S"
106,3,"Cac*****","male",18,0,0,"315091",8.6625,"","S"
107,3,"Wik*****","male",21,1,0,"3101266",6.4958,"","S"
108,3,"Sca*****","male",NA,0,0,"36209",7.725,"","Q"
109,2,"Whe*****","male",NA,0,0,"SC/PARIS 2159",12.875,"","S"
110,2,"Tro*****","male",23,0,0,"233639",13,"","S"
111,1,"Har*****","male",40,0,0,"112059",0,"B94","S"
112,1,"Van*****","male",61,0,0,"111240",33.5,"B19","S"
113,3,"Lef*****","female",NA,3,1,"4133",25.4667,"","S"
114,3,"Gon*****","male",38,0,0,"SOTON/O.Q. 3101306",7.05,"","S"
115,3,"Van*****","male",16,2,0,"345764",18,"","S"
116,3,"Lal*****","male",NA,0,0,"349217",7.8958,"","S"
117,1,"Reu*****","male",38,0,0,"19972",0,"","S"
118,3,"Sve*****","male",74,0,0,"347060",7.775,"","S"
119,3,"Wae*****","male",22,0,0,"345767",9,"","S"
120,3,"Kla*****","male",18,1,1,"350404",7.8542,"","S"
121,3,"Gol*****","male",41,0,0,"SOTON/O.Q. 3101263",7.85,"","S"
122,3,"Les*****","male",39,0,0,"A/4 48871",24.15,"","S"
123,3,"Alh*****","male",20,0,0,"SOTON/O2 3101287",7.925,"","S"
124,2,"Hic*****","male",32,2,0,"S.O.C. 14879",73.5,"","S"
125,3,"Rom*****","male",NA,0,0,"312993",7.775,"","S"
126,3,"McM*****","male",NA,0,0,"370372",7.75,"","Q"
127,3,"Lan*****","male",NA,0,0,"7935",7.75,"","Q"
128,3,"Kla*****","female",1,1,1,"350405",12.1833,"","S"
129,2,"Bra*****","male",27,0,0,"220367",13,"","S"
130,3,"Joh*****","male",NA,1,2,"W./C. 6607",23.45,"","S"
131,3,"Rus*****","male",16,0,0,"A/4. 20589",8.05,"","S"
132,3,"Joh*****","male",NA,1,2,"W./C. 6607",23.45,"","S"
133,3,"Sag*****","male",NA,8,2,"CA. 2343",69.55,"","S"
134,2,"Jef*****","male",22,2,0,"C.A. 31029",31.5,"","S"
135,3,"Dan*****","male",0.33,0,2,"347080",14.4,"","S"
136,3,"Pal*****","male",2,3,1,"349909",21.075,"","S"
137,3,"Cri*****","male",44,0,1,"371362",16.1,"","S"
138,2,"Ley*****","male",24,0,0,"C.A. 29566",10.5,"","S"
139,3,"Rii*****","female",22,0,0,"3101295",39.6875,"","S"
140,3,"Pal*****","female",3,3,1,"349909",21.075,"","S"
141,3,"Tod*****","male",NA,0,0,"349216",7.8958,"","S"
142,3,"Asi*****","male",35,0,0,"SOTON/O.Q. 3101310",7.05,"","S"
143,1,"Gig*****","male",24,0,0,"PC 17593",79.2,"B86","C"
144,2,"Kan*****","male",34,1,0,"244367",26,"","S"
145,3,"Cul*****","male",17,0,0,"315090",8.6625,"","S"
146,1,"Gol*****","male",71,0,0,"PC 17754",34.6542,"A5","C"
147,2,"McC*****","male",32,0,0,"237216",13.5,"","S"
148,3,"Ale*****","male",26,0,0,"3474",7.8875,"","S"
149,1,"Ros*****","male",36,0,0,"13049",40.125,"A10","C"
150,1,"Moo*****","male",47,0,0,"113796",42.4,"","S"
151,2,"Mon*****","male",27,0,0,"211536",13,"","S"
152,2,"Lam*****","male",NA,0,0,"240261",10.7083,"","Q"
153,2,"Hoc*****","male",36,0,0,"242963",13,"","S"
154,3,"Hag*****","male",NA,1,0,"65304",19.9667,"","S"
155,3,"Mat*****","male",NA,0,0,"349255",7.8958,"","C"
156,3,"Sag*****","male",14.5,8,2,"CA. 2343",69.55,"","S"
157,3,"Con*****","male",70.5,0,0,"370369",7.75,"","Q"
158,3,"Mor*****","male",NA,0,0,"372622",7.75,"","Q"
159,3,"Mar*****","male",35,0,0,"349213",7.8958,"","C"
160,1,"Min*****","male",44,2,0,"19928",90,"C78","Q"
161,1,"Cai*****","male",NA,0,0,"113798",31,"","S"
162,3,"Bar*****","female",27,0,0,"330844",7.8792,"","Q"
163,1,"Fut*****","male",37,1,0,"113803",53.1,"C123","S"
164,3,"Kha*****","female",NA,1,0,"2660",14.4542,"","C"
165,3,"Jen*****","male",48,0,0,"350047",7.8542,"","S"
166,3,"Oda*****","male",23,0,0,"7267",9.225,"","S"
167,3,"Tho*****","male",NA,0,0,"2681",6.4375,"","C"
168,3,"O'C*****","male",NA,0,0,"371060",7.75,"","Q"
169,3,"Sag*****","female",NA,8,2,"CA. 2343",69.55,"","S"
170,3,"Bou*****","F",32,1,1,"364849",15.5,"","Q"
171,2,"And*****","male",18,0,0,"231945",11.5,"","S"
172,3,"Kea*****","male",NA,0,0,"12460",7.75,"","Q"
173,3,"Ric*****","male",8,4,1,"382652",29.125,"","Q"
174,3,"Bou*****","male",NA,0,0,"2664",7.225,"","C"
175,2,"Kea*****","male",35,0,0,"233734",12.35,"","Q"
176,1,"Whi*****","male",21,0,1,"35281",77.2875,"D26","S"
177,3,"Ven*****","male",20,0,0,"350416",7.8542,"","S"
178,3,"Bra*****","male",29,1,0,"3460",7.0458,"","S"
179,3,"van*****","male",11.5,1,1,"A/5. 851",14.5,"","S"
180,3,"You*****","male",45.5,0,0,"2628",7.225,"","C"
181,3,"Lar*****","male",29,0,0,"7545",9.4833,"","S"
182,3,"Dra*****","male",33,0,0,"349241",7.8958,"","C"
183,3,"Arn*****","female",18,1,0,"349237",17.8,"","S"
184,1,"Chi*****","male",NA,0,0,"112051",0,"","S"
185,2,"Yro*****","female",24,0,0,"248747",13,"","S"
186,1,"Kla*****","male",NA,0,0,"113028",26.55,"C124","S"
187,1,"Roe*****","male",31,0,0,"PC 17590",50.4958,"A24","S"
188,3,"Ber*****","male",22,0,0,"PP 4348",9.35,"","S"
189,3,"Sag*****","female",NA,8,2,"CA. 2343",69.55,"","S"
190,1,"Cra*****","male",NA,0,0,"113791",26.55,"","S"
191,3,"Can*****","male",21,0,0,"364858",7.75,"","Q"
192,1,"Cav*****","male",36,1,0,"19877",78.85,"C46","S"
193,2,"Fah*****","male",18,0,0,"236171",13,"","S"
194,2,"Nic*****","male",19,1,1,"C.A. 33112",36.75,"","S"
195,1,"Cha*****","male",46,1,0,"W.E.P. 5734",61.175,"E31","S"
196,1,"Jul*****","male",50,0,0,"113044",26,"E60","S"
197,3,"Din*****","male",43,0,0,"349226",7.8958,"","S"
198,3,"Len*****","female",NA,1,0,"370371",15.5,"","Q"
199,3,"Lef*****","female",NA,3,1,"4133",25.4667,"","S"
200,2,"Gre*****","male",52,0,0,"250647",13,"","S"
201,3,"Fly*****","male",NA,0,0,"368323",6.95,"","Q"
202,2,"Sta*****","male",41,0,0,"237734",15.0458,"","C"
203,3,"Doo*****","male",32,0,0,"370376",7.75,"","Q"
204,3,"Moo*****","male",NA,0,0,"A4. 54510",8.05,"","S"
205,1,"Par*****","male",NA,0,0,"112052",0,"","S"
206,3,"de *****","male",16,0,0,"345778",9.5,"","S"
207,1,"For*****","male",30,0,0,"113051",27.75,"C111","C"
208,3,"Lin*****","female",25,0,0,"347071",7.775,"","S"
209,1,"All*****","male",30,1,2,"113781",151.55,"C22 C26","S"
210,3,"Bjo*****","male",18,0,0,"347090",7.75,"","S"
211,2,"Car*****","male",19,0,0,"28424",13,"","S"
212,1,"Ste*****","male",NA,0,0,"PC 17605",27.7208,"","C"
213,1,"Gee*****","male",47,0,0,"111320",38.5,"E63","S"
214,2,"Byl*****","male",42,0,0,"244310",13,"","S"
215,3,"And*****","female",9,4,2,"347082",31.275,"","S"
216,1,"Car*****","male",17,0,0,"113059",47.1,"","S"
217,3,"Mou*****","male",NA,0,0,"374746",8.05,"","S"
218,3,"Kar*****","male",30,0,0,"349246",7.8958,"","S"
219,3,"Kel*****","male",34.5,0,0,"330911",7.8292,"","Q"
220,2,"Mor*****","male",39,0,0,"250655",26,"","S"
221,2,"Lar*****","male",25,1,2,"SC/Paris 2123",41.5792,"","C"
222,3,"Mor*****","male",NA,0,0,"330877",8.4583,"","Q"
223,1,"Whi*****","male",54,0,1,"35281",77.2875,"D26","S"
224,3,"Ore*****","female",20,0,0,"315096",8.6625,"","S"
225,3,"Arn*****","male",25,1,0,"349237",17.8,"","S"
226,3,"Bir*****","male",21,0,0,"312992",7.775,"","S"
227,2,"War*****","male",23,1,0,"28666",10.5,"","S"
228,3,"Saw*****","male",24.5,0,0,"342826",8.05,"","S"
229,3,"Jon*****","male",23,0,0,"349204",7.8958,"","S"
230,1,"Mag*****","male",30,0,0,"110469",26,"C106","S"
231,2,"Nas*****","male",32.5,1,0,"237736",30.0708,"","C"
232,3,"Smi*****","male",NA,0,0,"384461",7.75,"","Q"
233,3,"Dav*****","male",17,2,0,"A/4 48873",8.05,"","S"
234,3,"Sla*****","male",NA,0,0,"349214",7.8958,"","S"
235,3,"Tou*****","male",NA,0,0,"2641",7.2292,"","C"
236,1,"Cro*****","male",70,1,1,"WE/P 5735",71,"B22","S"
237,3,"Len*****","male",NA,1,0,"370371",15.5,"","Q"
238,2,"And*****","male",25,0,0,"C.A. 34050",10.5,"","S"
239,3,"Tob*****","male",NA,0,0,"383121",7.75,"F38","Q"
240,2,"Fox*****","male",36,0,0,"229236",13,"","S"
241,3,"Ros*****","male",18,1,1,"370129",20.2125,"","S"
242,3,"Mea*****","female",NA,0,0,"SOTON/O.Q. 392087",8.05,"","S"
243,3,"Nau*****","female",NA,0,0,"365237",7.75,"","Q"
244,1,"Col*****","male",47,0,0,"5727",25.5875,"E58","S"
245,3,"Pea*****","male",NA,0,0,"343271",7,"","S"
246,2,"Sha*****","male",27,0,0,"244358",26,"","S"
247,2,"Sed*****","male",25,0,0,"244361",13,"","S"
248,3,"Pet*****","male",24,0,0,"342441",8.05,"","S"
249,3,"Sad*****","male",NA,0,0,"367655",7.7292,"","Q"
250,1,"Tau*****","male",52,1,1,"110413",79.65,"E67","S"
251,1,"Rin*****","male",22,0,0,"PC 17760",135.6333,"","C"
252,1,"Pea*****","male",29,1,0,"113776",66.6,"C2","S"
253,2,"Har*****","male",43,1,1,"F.C.C. 13529",26.25,"","S"
254,3,"Sha*****","male",NA,0,0,"370374",7.75,"","Q"
255,2,"Hoc*****","male",23,2,1,"29104",11.5,"","S"
256,3,"Ols*****","female",31,0,0,"350407",7.8542,"","S"
257,3,"Pea*****","male",0.75,1,1,"SOTON/O.Q. 3101315",13.775,"","S"
258,3,"Rek*****","male",38,0,0,"349249",7.8958,"","S"
259,3,"Doh*****","male",NA,0,0,"2686",7.2292,"","C"
260,1,"Rob*****","male",NA,0,0,"PC 17757",227.525,"","C"
261,3,"Sko*****","male",4,3,2,"347088",27.9,"","S"
262,2,"Cun*****","male",NA,0,0,"239853",0,"","S"
263,3,"Goo*****","male",1,5,2,"CA 2144",46.9,"","S"
264,3,"Zim*****","male",29,0,0,"315082",7.875,"","S"
265,2,"Lin*****","male",61,0,0,"235509",12.35,"","Q"
266,3,"Str*****","male",27,0,0,"315083",8.6625,"","S"
267,1,"Par*****","male",45.5,0,0,"113043",28.5,"C124","S"
268,2,"Gas*****","male",16,0,0,"239865",26,"","S"
269,3,"Str*****","female",22,0,0,"7553",9.8375,"","S"
270,3,"Pek*****","male",21,0,0,"STON/O 2. 3101294",7.925,"","S"
271,3,"Chr*****","male",26,1,0,"2680",14.4542,"","C"
272,3,"Joh*****","male",19,0,0,"LINE",0,"","S"
273,2,"Sle*****","male",35,0,0,"28206",10.5,"","S"
274,3,"Pet*****","female",NA,0,0,"330935",8.1375,"","Q"
275,3,"Ili*****","male",NA,0,0,"349220",7.8958,"","S"
276,3,"Ass*****","male",23,0,0,"SOTON/O.Q. 3101309",7.05,"","S"
277,3,"Hor*****","male",NA,0,0,"370377",7.75,"","Q"
278,3,"Van*****","male",28,0,0,"345770",9.5,"","S"
279,3,"Chr*****","male",18,1,0,"2680",14.4542,"","C"
280,3,"Joh*****","male",22,0,0,"350052",7.7958,"","S"
281,3,"Ose*****","male",16,0,0,"7534",9.2167,"","S"
282,3,"Kha*****","male",NA,1,0,"2660",14.4542,"","C"
283,3,"Mah*****","male",NA,0,0,"AQ/4 3130",7.75,"","Q"
284,3,"Dan*****","male",34,1,1,"347080",14.4,"","S"
285,2,"Cor*****","female",30,0,0,"237249",13,"","S"
286,3,"Sau*****","male",20,0,0,"A/5. 2151",8.05,"","S"
287,3,"Can*****","male",21,0,0,"A./5. 2152",8.05,"","S"
288,3,"Dav*****","male",NA,1,0,"386525",16.1,"","S"
289,2,"Cha*****","female",29,1,0,"SC/AH 29037",26,"","S"
290,1,"Art*****","male",71,0,0,"PC 17609",49.5042,"","C"
291,2,"Giv*****","male",30,0,0,"250646",13,"","S"
292,3,"Bur*****","female",18,0,0,"330963",7.8792,"","Q"
293,3,"Joh*****","male",49,0,0,"LINE",0,"","S"
294,2,"Wes*****","male",36,1,2,"C.A. 34651",27.75,"","S"
295,3,"Sko*****","male",40,1,4,"347088",27.9,"","S"
296,2,"Dea*****","male",17,0,0,"S.O.C. 14879",73.5,"","S"
297,1,"Roo*****","male",NA,0,0,"113767",50,"A32","S"
298,1,"Wid*****","male",50,1,1,"113503",211.5,"C80","C"
299,3,"War*****","male",NA,0,0,"359309",8.05,"","S"
300,3,"Kil*****","male",NA,0,0,"36865",7.7375,"","Q"
301,2,"Vea*****","male",40,0,0,"28221",13,"","S"
302,3,"McN*****","male",24,1,0,"376566",16.1,"","S"
303,3,"Ang*****","male",26,0,0,"349202",7.8958,"","S"
304,2,"Dib*****","male",18,0,0,"S.O.C. 14879",73.5,"","S"
305,2,"Cla*****","male",29,1,0,"2003",26,"","S"
306,2,"Ald*****","male",30,0,0,"248744",13,"","S"
307,1,"Wil*****","male",51,0,1,"PC 17597",61.3792,"","C"
308,2,"Jen*****","male",32,0,0,"C.A. 33111",10.5,"","S"
309,1,"Ish*****","female",50,0,0,"PC 17595",28.7125,"C49","C"
310,1,"Hoy*****","male",NA,0,0,"PC 17600",30.6958,"","C"
311,3,"And*****","female",2,4,2,"347082",31.275,"","S"
312,3,"Pal*****","female",29,0,4,"349909",21.075,"","S"
313,3,"Sag*****","F",NA,8,2,"CA. 2343",69.55,"","S"
314,3,"Sad*****","male",NA,0,0,"LP 1588",7.575,"","S"
315,3,"Bar*****","male",22,0,0,"324669",8.05,"","S"
316,3,"Col*****","male",36,0,0,"349210",7.4958,"","S"
317,3,"Wik*****","male",18,1,0,"3101267",6.4958,"","S"
318,3,"Zab*****","female",14.5,1,0,"2665",14.4542,"","C"
319,3,"Sko*****","male",10,3,2,"347088",27.9,"","S"
320,3,"All*****","male",35,0,0,"373450",8.05,"","S"
321,3,"Bad*****","male",40,0,0,"2623",7.225,"","C"
322,2,"McK*****","male",46,0,0,"28403",26,"","S"
323,3,"Som*****","male",30,0,0,"A.5. 18509",8.05,"","S"
324,3,"Spe*****","male",NA,0,0,"A.5. 3236",8.05,"","S"
325,2,"Cha*****","male",52,0,0,"248731",13.5,"","S"
326,2,"Gil*****","male",34,0,0,"12233",13,"","S"
327,3,"Kel*****","male",44,0,0,"363592",8.05,"","S"
328,1,"Mar*****","male",19,1,0,"113773",53.1,"D30","S"
329,2,"Ang*****","male",34,1,0,"226875",26,"","S"
330,1,"Sma*****","male",56,0,0,"113792",26.55,"","S"
331,2,"Fro*****","male",NA,0,0,"239854",0,"","S"
332,3,"Goo*****","male",9,5,2,"CA 2144",46.9,"","S"
333,3,"Tho*****","male",NA,0,0,"2684",7.225,"","C"
334,3,"Bra*****","female",20,0,0,"347471",7.8542,"","S"
335,1,"Str*****","male",67,1,0,"PC 17483",221.7792,"C55 C57","S"
336,3,"Sam*****","male",NA,2,0,"2662",21.6792,"","C"
337,2,"Cot*****","male",21,0,0,"29107",11.5,"","S"
338,1,"Ste*****","male",62,0,0,"113514",26.55,"C87","S"
339,2,"Fyn*****","male",35,0,0,"239865",26,"","S"
340,3,"And*****","male",26,0,0,"347075",7.775,"","S"
341,3,"Aug*****","male",23,0,0,"347468",7.8542,"","S"
342,3,"Far*****","male",40.5,0,0,"367232",7.75,"","Q"
343,3,"Ric*****","male",4,4,1,"382652",29.125,"","Q"
344,3,"Cac*****","male",38,0,0,"315089",8.6625,"","S"
345,3,"Goo*****","male",40,1,6,"CA 2144",46.9,"","S"
346,2,"Mit*****","male",70,0,0,"C.A. 24580",10.5,"","S"
347,2,"Ena*****","male",21,0,0,"236854",13,"","S"
348,2,"Hun*****","male",33,0,0,"SCO/W 1585",12.275,"","S"
349,3,"Web*****","male",NA,0,0,"SOTON/OQ 3101316",8.05,"","S"
350,3,"Sko*****","female",2,3,2,"347088",27.9,"","S"
351,3,"Mit*****","male",NA,0,0,"349221",7.8958,"","S"
352,3,"Yas*****","male",27,1,0,"2659",14.4542,"","C"
353,3,"Nys*****","male",61,0,0,"345364",6.2375,"","S"
354,3,"Pea*****","female",3,1,1,"SOTON/O.Q. 3101315",13.775,"","S"
355,3,"Ris*****","female",NA,0,0,"364498",14.5,"","S"
356,3,"Abb*****","male",16,1,1,"C.A. 2673",20.25,"","S"
357,1,"New*****","male",58,0,2,"35273",113.275,"D48","C"
358,3,"Mur*****","male",NA,0,0,"A./5. 3235",8.05,"","S"
359,1,"Pay*****","male",23,0,0,"12749",93.5,"B24","S"
360,3,"Jar*****","male",NA,0,0,"SOTON/O.Q. 3101305",7.05,"","S"
361,3,"Gil*****","male",22,0,0,"14973",8.05,"","S"
362,2,"Lou*****","male",50,1,0,"SC/AH 3085",26,"","S"
363,3,"Rou*****","male",50,0,0,"A/5 3594",8.05,"","S"
364,3,"Mor*****","male",NA,1,0,"371110",24.15,"","Q"
365,3,"Kee*****","male",NA,0,0,"323592",7.25,"","S"
366,3,"You*****","male",NA,0,0,"2647",7.225,"","C"
367,3,"Goo*****","male",11,5,2,"CA 2144",46.9,"","S"
368,2,"Cha*****","male",37,1,0,"SC/AH 29037",26,"","S"
369,3,"O'D*****","female",NA,0,0,"364856",7.75,"","Q"
370,3,"Har*****","male",25,0,0,"374887",7.25,"","S"
371,3,"Lin*****","male",NA,0,0,"330971",7.8792,"","Q"
372,3,"O'C*****","male",NA,0,0,"334912",7.7333,"","Q"
373,3,"Ore*****","female",23,0,0,"315085",8.6625,"","S"
374,3,"Gue*****","male",NA,0,0,"376563",8.05,"","S"
375,1,"Bra*****","male",41,0,0,"113054",30.5,"A21","S"
376,2,"Bea*****","male",28,0,0,"244358",26,"","S"
377,3,"Rog*****","male",NA,0,0,"S.C./A.4. 23567",8.05,"","S"
378,2,"Myl*****","male",62,0,0,"240276",9.6875,"","Q"
379,3,"Ols*****","male",28,0,0,"347464",7.8542,"","S"
380,3,"Van*****","male",28,0,0,"345783",9.5,"","S"
381,3,"Pan*****","male",2,4,1,"3101295",39.6875,"","S"
382,3,"Pet*****","male",NA,0,0,"349215",7.8958,"","S"
383,2,"War*****","male",30,1,0,"CA 31352",21,"","S"
384,3,"Hen*****","male",28,0,0,"349243",7.8958,"","S"
385,3,"Mak*****","male",29,0,0,"STON/O 2. 3101268",7.925,"","S"
386,1,"Bla*****","male",45,0,0,"113784",35.5,"T","S"
387,3,"Eli*****","male",15,1,1,"2695",7.2292,"","C"
388,2,"Bow*****","male",42,0,0,"211535",13,"","S"
389,2,"Lah*****","male",30,1,1,"250651",26,"","S"
390,3,"Cox*****","male",59,0,0,"364500",7.25,"","S"
391,3,"Lob*****","female",26,1,0,"A/5. 3336",16.1,"","S"
392,3,"Wir*****","male",27,0,0,"315154",8.6625,"","S"
393,3,"Ben*****","male",26,0,0,"347068",7.775,"","S"
394,2,"Swa*****","male",18.5,0,0,"248734",13,"F","S"
395,2,"Rog*****","male",19,0,0,"28004",10.5,"","S"
396,3,"Coe*****","male",20,0,0,"SOTON/O.Q. 3101307",7.05,"","S"
397,1,"Har*****","male",NA,0,0,"113796",42.4,"","S"
398,3,"Nos*****","male",21,0,0,"A/4. 39886",7.8,"","S"
399,3,"Sir*****","male",NA,0,0,"392092",8.05,"","S"
400,3,"O'C*****","male",NA,0,0,"366713",7.75,"","Q"
401,3,"Lem*****","male",34.5,0,0,"2683",6.4375,"","C"
402,3,"Eli*****","male",17,1,1,"2690",7.2292,"","C"
403,3,"Sag*****","male",NA,8,2,"CA. 2343",69.55,"","S"
404,3,"Dav*****","male",24,2,0,"A/4 48871",24.15,"","S"
405,3,"Bos*****","male",26,0,0,"349224",7.8958,"","S"
406,3,"Bac*****","male",32,1,0,"3101278",15.85,"","S"
407,3,"Lai*****","female",37,0,0,"4135",9.5875,"","S"
408,3,"Har*****","female",NA,0,0,"W./C. 6609",7.55,"","S"
409,3,"Pan*****","male",16,4,1,"3101295",39.6875,"","S"
410,3,"Wid*****","male",51,0,0,"347064",7.75,"","S"
